"subject","Index","patch_ID","CongOrIncong","Patch_Source","Exist_Object","Patch_Position","response","p_confidence","latency","Image_ID","null_index","OLIFE_subscale_1_score","OLIFE_subscale_2_score","OLIFE_subscale_3_score","OLIFE_subscale_4_score","response","ratio_pxpermm","screen_size_x","screen_size_y","viewer_distance","line_size","calibration_image_size","list.viewing_distance.currentvalue","screen_x_threshold","distance_threshold"
"270747082","0","0","0","0","0","0","","0","6730","0","0","0","0","0","0","57","6.4252336448598130758px","-999","-999","-999","999px","13594.391999999999825377px","","230px","300pct"
"270747082","0","0","0","0","0","0","","0","8036","0","0","0","0","0","0","2","6.3668224299065423466px","301.5633027522935663001px","169.6293577981651310438px","-999","127.3364485981308433793px","13594.391999999999825377px","","230px","300pct"
"270747082","0","0","0","0","0","0","","0","458","0","0","0","0","0","0","2","6.3084112149532716174px","304.3555555555554974489px","171.1999999999999886313px","-999","126.1682242990654287951px","13594.391999999999825377px","","230px","300pct"
"270747082","0","0","0","0","0","0","","0","175","0","0","0","0","0","0","2","6.25px","307.1999999999999886313px","172.8000000000000113687px","-999","125px","13594.391999999999825377px","","230px","300pct"
"270747082","0","0","0","0","0","0","","0","208","0","0","0","0","0","0","2","6.1915887850467292708px","310.0981132075471577991px","174.430188679245276262px","-999","123.8317757009345854158px","13594.391999999999825377px","","230px","300pct"
"270747082","0","0","0","0","0","0","","0","183","0","0","0","0","0","0","2","6.1331775700934585416px","313.0514285714285165341px","176.0914285714285369977px","-999","122.6635514018691708316px","13594.391999999999825377px","","230px","300pct"
"270747082","0","0","0","0","0","0","","0","192","0","0","0","0","0","0","2","6.0747663551401869242px","316.0615384615384755307px","177.7846153846153640643px","-999","121.4953271028037420365px","13594.391999999999825377px","","230px","300pct"
"270747082","0","0","0","0","0","0","","0","135","0","0","0","0","0","0","2","6.016355140186916195px","319.1300970873786013726px","179.5106796116504597194px","-999","120.3271028037383274523px","13594.391999999999825377px","","230px","300pct"
"270747082","0","0","0","0","0","0","","0","217","0","0","0","0","0","0","2","5.9579439252336454658px","322.2588235294116998375px","181.2705882352940989222px","-999","119.158878504672912868px","13594.391999999999825377px","","230px","300pct"
"270747082","0","0","0","0","0","0","","0","1024","0","0","0","0","0","0","2","5.8995327102803738484px","325.4495049504950543451px","183.0653465346534858327px","-999","117.990654205607484073px","13594.391999999999825377px","","230px","300pct"
